               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*                   O*                  CO*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2                 8000         6.0850681305777489E-05         1.0000000000000000E+03        -7.9560000000003299E+00                   0                    0                    6                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -3                    0                    0                    0                    0
                   3                16000         8.0759239887550041E-05         1.0000000000000000E+03        -1.3227000000000332E+01                   0                    0                   10                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -5                    0                    0                    0                    0
                   4                24000         9.3682494950288818E-05         1.0000000000000000E+03        -1.5813000000000331E+01                   0                    0                   12                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -6                    0                    0                    0                    0
                   5                32000         1.0386961425795165E-04         1.0000000000000000E+03        -2.1150000000000333E+01                   0                    0                   16                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -8                    0                    0                    0                    0
                   6                40000         1.1283079458800896E-04         1.0000000000000000E+03        -2.1084000000000330E+01                   0                    0                   16                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -8                    0                    0                    0                    0
                   7                48000         1.2158707360321779E-04         1.0000000000000000E+03        -2.1117000000000331E+01                   0                    0                   16                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -8                    0                    0                    0                    0
                   8                56000         1.3045421775668186E-04         1.0000000000000000E+03        -2.1117000000000331E+01                   0                    0                   16                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -8                    0                    0                    0                    0
                   9                64000         1.3927499359467059E-04         1.0000000000000000E+03        -2.0985000000000326E+01                   0                    0                   16                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -8                    0                    0                    0                    0
                  10                72000         1.4751472423165136E-04         1.0000000000000000E+03        -2.3703000000000330E+01                   0                    0                   18                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -9                    0                    0                    0                    0
