               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*                   O*                  CO*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2                 8000         5.3196365570932111E-06         1.0000000000000000E+03        -7.9902000000000243E+01                   0                    0                   62                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -31                    0                    0                    0                    0
                   3                16000         1.0448909384270370E-05         1.0000000000000000E+03        -8.9685000000000514E+01                   0                    0                   70                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -35                    0                    0                    0                    0
                   4                24000         1.6191857353824577E-05         1.0000000000000000E+03        -9.7014000000000721E+01                   0                    0                   76                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -38                    0                    0                    0                    0
                   5                32000         2.3734577381763243E-05         1.0000000000000000E+03        -1.0673100000000102E+02                   0                    0                   84                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -42                    0                    0                    0                    0
                   6                40000         3.3548116964735509E-05         1.0000000000000000E+03        -1.1163900000000115E+02                   0                    0                   88                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -44                    0                    0                    0                    0
                   7                48000         4.8111670546765588E-05         1.0000000000000000E+03        -1.1644800000000131E+02                   0                    0                   92                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -46                    0                    0                    0                    0
                   8                56000         6.4898018413793345E-05         1.0000000000000000E+03        -1.1883600000000141E+02                   0                    0                   94                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -47                    0                    0                    0                    0
                   9                64000         9.3614518710354375E-05         1.0000000000000000E+03        -1.2119100000000151E+02                   0                    0                   96                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -48                    0                    0                    0                    0
                  10                72000         1.2529850293869794E-04         1.0000000000000000E+03        -1.2119100000000151E+02                   0                    0                   96                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -48                    0                    0                    0                    0
                  11                80000         1.7340287264672313E-04         1.0000000000000000E+03        -1.2361200000000159E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  12                88000         2.3545483176095220E-04         1.0000000000000000E+03        -1.2361200000000159E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
