               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*              CH3_Pt*                   O*                O_Pt*                  CO*               CO_Pt*              CH2_Pt*               CH_Pt*                C_Pt*               OH_Pt*              H2O_Pt*              CO2_Pt*             COOH_Pt*              CHO_Pt*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         1.3798615727483633E-05         1.0000000000000000E+03         6.3813999999997783E+01                   0                    2                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   18                    0                    0                    0                  -29                    0                    0                   56                    0                    0
                   3               200000         2.0083883926533911E-05         1.0000000000000000E+03         8.3688999999961595E+01                   0                    2                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   26                    0                    0                    0                  -37                    0                    0                   72                    0                    0
                   4               300000         2.7476646429279289E-05         1.0000000000000000E+03         1.0069499999996152E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    1                    2                   32                    0                    0                    0                  -44                    0                    0                   86                    0                    0
                   5               400000         3.4934634831422322E-05         1.0000000000000000E+03         1.0640399999996151E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    2                    1                   35                    0                    0                    0                  -47                    0                    0                   91                    0                    0
                   6               500000         3.9356025855896038E-05         1.0000000000000000E+03         1.1146299999996151E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    1                    3                   36                    0                    0                    0                  -49                    0                    0                   95                    0                    0
                   7               600000         4.5587167656656383E-05         1.0000000000000000E+03         1.1716099999996150E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   39                    0                    0                    0                  -50                    0                    0                   99                    0                    0
                   8               700000         5.2149269577922246E-05         1.0000000000000000E+03         1.2169799999996147E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    1                    6                   38                    0                    0                    0                  -54                    0                    0                  104                    0                    0
                   9               800000         6.5509267380220950E-05         1.0000000000000000E+03         1.2246200000004829E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    4                   40                    0                    0                    0                  -55                   -1                    2                  108                    0                    0
                  10               900000         8.0636707544057284E-05         1.0000000000000000E+03         1.2249000000004821E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   41                    0                    0                    0                  -56                   -2                    4                  111                    0                    0
