               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*              CH3_Pt*                   O*                O_Pt*                  CO*               CO_Pt*              CH2_Pt*               CH_Pt*                C_Pt*               OH_Pt*              H2O_Pt*              CO2_Pt*             COOH_Pt*              CHO_Pt*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         3.5032820525894245E-04         1.0000000000000000E+03         9.0290000000001047E+00                   0                    0                    0                    3                    0                    0                    2                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -43                  -32                   10                   85                   24                    1
                   3               200000         5.6303889428058358E-04         1.0000000000000000E+03         6.2789999999993142E+00                   0                    0                    0                    7                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -75                  -64                   14                  148                   52                    2
                   4               300000         9.0233198867048058E-04         1.0000000000000000E+03         8.8489999999987017E+00                   0                    0                    0                    5                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -107                  -90                   24                  212                   74                    2
                   5               400000         1.1151240015695996E-03         1.0000000000000000E+03         1.3875000000004121E+01                   0                    1                    0                    2                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -133                 -114                   25                  262                   99                    3
                   6               500000         1.3284779351909989E-03         1.0000000000000000E+03         1.2827000000003279E+01                   0                    0                    0                    2                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -153                 -132                   30                  303                  114                    3
                   7               600000         1.5923483332678896E-03         1.0000000000000000E+03         1.0257000000001442E+01                   0                    0                    0                    4                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -182                 -160                   35                  360                  138                    4
                   8               700000         1.8879500480328279E-03         1.0000000000000000E+03         1.2751000000002659E+01                   0                    1                    0                    3                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -211                 -185                   41                  417                  161                    4
                   9               800000         2.2155536782537772E-03         1.0000000000000000E+03         7.5050000000015489E+00                   0                    2                    0                    5                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -248                 -215                   58                  491                  181                    4
                  10               900000         2.6011969073123837E-03         1.0000000000000000E+03         1.3956999999994739E+01                   0                    1                    0                    2                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -284                 -244                   69                  562                  206                    5
                  11              1000000         2.8940216108308539E-03         1.0000000000000000E+03         1.0159999999993927E+01                   0                    1                    0                    3                    0                    0                    1                    0                    1                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -316                 -274                   75                  626                  232                    5
                  12              1100000         3.1407347028660454E-03         1.0000000000000000E+03         1.1541999999992989E+01                   0                    0                    0                    3                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -341                 -296                   81                  677                  251                    5
                  13              1200000         3.5654813170300425E-03         1.0000000000000000E+03         7.7039999999926305E+00                   0                    0                    0                    4                    0                    0                    2                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -385                 -334                   95                  765                  281                    5
                  14              1300000         3.8830705860096290E-03         1.0000000000000000E+03         7.7389999999876879E+00                   0                    2                    0                    3                    0                    0                    2                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -411                 -355                  105                  815                  297                    6
                  15              1400000         4.1261515080746689E-03         1.0000000000000000E+03         1.5324999999987540E+01                   0                    1                    0                    1                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -443                 -381                  115                  877                  319                    8
                  16              1500000         4.4155412125780769E-03         1.0000000000000000E+03         6.8839999999885517E+00                   0                    0                    0                    7                    0                    0                    0                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -471                 -409                  123                  934                  340                    8
                  17              1600000         4.6114248530185987E-03         1.0000000000000000E+03         1.1387999999993070E+01                   0                    1                    0                    4                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -497                 -430                  128                  985                  360                    8
                  18              1700000         4.9785204266945739E-03         1.0000000000000000E+03         9.0239999999938654E+00                   0                    3                    0                    3                    0                    0                    1                    0                    1                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -538                 -466                  140                 1064                  389                   10
                  19              1800000         5.5152008553783901E-03         1.0000000000000000E+03         9.0209999999795425E+00                   0                    0                    0                    3                    0                    0                    2                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -577                 -501                  150                 1143                  418                   11
                  20              1900000         5.8576308441973517E-03         1.0000000000000000E+03         1.2726999999978888E+01                   0                    2                    0                    1                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -611                 -528                  161                 1210                  441                   11
                  21              2000000         6.2174422614131950E-03         1.0000000000000000E+03         1.4111999999980691E+01                   0                    0                    0                    1                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -647                 -561                  170                 1280                  468                   14
                  22              2100000         6.5870807600253685E-03         1.0000000000000000E+03         7.5639999999785363E+00                   0                    0                    0                    6                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -681                 -593                  180                 1347                  492                   15
                  23              2200000         6.8643197543754083E-03         1.0000000000000000E+03         9.5029999999752466E+00                   0                    0                    0                    3                    0                    0                    1                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -707                 -613                  191                 1399                  508                   15
