,cluster_eng,sites,site_types,lattice_state,angles,neighboring,graph_multiplicity
CH3_point,0.298,1.0,tC,['1 CH3* 1'],,,
H_point,-0.577,1.0,tC,['1 H* 1'],,,
CH3+H_pair,-0.014,2.0,tC tC,"['1 CH3* 1', '2 H* 1']",,1-2,
CH3_Pt_point,-0.244,1.0,Pt,['1 CH3_Pt* 1'],,,
CH3_Pt+H_pair,0.014,2.0,Pt tC,"['1 CH3_Pt* 1', '2 H* 1']",,1-2,
O_point,-1.333,1.0,tC,['1 O* 1'],,,
O+O_pair,0.034,2.0,tC tC,"['1 O* 1', '2 O* 1']",,1-2,2.0
O_Pt_point,-0.913,1.0,Pt,['1 O_Pt* 1'],,,
O_Pt+O_pair,0.078,2.0,Pt tC,"['1 O_Pt* 1', '2 O* 1']",,1-2,
CO_point,0.233,1.0,tC,['1 CO* 1'],,,
CO_Pt_point,-0.521,1.0,Pt,['1 CO_Pt* 1'],,,
H+H_pair,0.037,2.0,tC tC,"['1 H* 1', '2 H* 1']",,1-2,2.0
CH2_Pt_point,0.716,1.0,Pt,['1 CH2_Pt* 1'],,,
CH_Pt_point,1.369,1.0,Pt,['1 CH_Pt* 1'],,,
C_Pt_point,1.999,1.0,Pt,['1 C_Pt* 1'],,,
OH_Pt_point,-2.129,1.0,Pt,['1 OH_Pt* 1'],,,
H2O_Pt_point,-2.022,1.0,Pt,['1 H2O_Pt* 1'],,,
CO2_Pt_point,-1.36,1.0,Pt,['1 CO2_Pt* 1'],,,
COOH_Pt_point,-1.855,1.0,Pt,['1 COOH_Pt* 1'],,,
CHO_Pt_point,-0.383,1.0,Pt,['1 CHO_Pt* 1'],,,
CO2_point,-1.576,1.0,tC,['1 CO2* 1'],,,
H2O_point,-2.022,1.0,tM,['1 H2O* 1'],,,
CH2_point,0.92,1.0,tC,['1 CH2* 1'],,,
CH2+H_pair,0.005,2.0,tC tC,"['1 CH2* 1', '2 H* 1']",,1-2,
CH2_Pt+H_pair,-0.038,2.0,Pt tC,"['1 CH2_Pt* 1', '2 H* 1']",,1-2,
CH_point,1.563,1.0,tC,['1 CH* 1'],,,
CH+H_pair,-0.004,2.0,tC tC,"['1 CH* 1', '2 H* 1']",,1-2,
CH_Pt+H_pair,-0.059,2.0,Pt tC,"['1 CH_Pt* 1', '2 H* 1']",,1-2,
C_point,2.452,1.0,tC,['1 C* 1'],,,
C+H_pair,0.044,2.0,tC tC,"['1 C* 1', '2 H* 1']",,1-2,
C_Pt+H_pair,-0.096,2.0,Pt tC,"['1 C_Pt* 1', '2 H* 1']",,1-2,
C+O_pair,-0.036,2.0,tC tC,"['1 C* 1', '2 O* 1']",,1-2,
C_Pt+O_pair,0.041,2.0,Pt tC,"['1 C_Pt* 1', '2 O* 1']",,1-2,
CH+O_pair,-0.041,2.0,tC tC,"['1 CH* 1', '2 O* 1']",,1-2,
CHO_point,-0.176,1.0,tC,['1 CHO* 1'],,,
CH_Pt+O_pair,0.318,2.0,Pt tC,"['1 CH_Pt* 1', '2 O* 1']",,1-2,
CO+H_pair,0.069,2.0,tC tC,"['1 CO* 1', '2 H* 1']",,1-2,
CO_Pt+H_pair,-0.001,2.0,Pt tC,"['1 CO_Pt* 1', '2 H* 1']",,1-2,
CO+O_pair,-0.032,2.0,tC tC,"['1 CO* 1', '2 O* 1']",,1-2,
CO_Pt+O_pair,0.042,2.0,Pt tC,"['1 CO_Pt* 1', '2 O* 1']",,1-2,
O+H_pair,-0.083,2.0,tC tC,"['1 O* 1', '2 H* 1']",,1-2,
OH_point,-1.496,1.0,tM,['1 OH* 1'],,,
O_Pt+H_pair,-0.031,2.0,Pt tC,"['1 O_Pt* 1', '2 H* 1']",,1-2,
OH+H_pair,-0.272,2.0,tM tC,"['1 OH* 1', '2 H* 1']",,1-2,
OH_Pt+H_pair,0.012,2.0,Pt tC,"['1 OH_Pt* 1', '2 H* 1']",,1-2,
CO2+H_pair,-0.267,2.0,tC tC,"['1 CO2* 1', '2 H* 1']",,1-2,
COOH_point,-1.519,1.0,tC,['1 COOH* 1'],,,
CO2_Pt+H_pair,-0.04,2.0,Pt tC,"['1 CO2_Pt* 1', '2 H* 1']",,1-2,
CO+OH_pair,-0.239,2.0,tC tM,"['1 CO* 1', '2 OH* 1']",,1-2,
CO_Pt+OH_pair,0.118,2.0,Pt tM,"['1 CO_Pt* 1', '2 OH* 1']",,1-2,
H+H_Pt_pair,0.0,3.0,tC Pt tC,"['1 H* 1', '& & &', '2 H* 1']",1-2-3:53.3,1-2 2-3,
COOH+CH2_pair,-0.023,2.0,tC tC,"['1 COOH* 1', '2 CH2* 1']",,1-2,
CO2+H2O_pair,-0.03,2.0,tC tM,"['1 CO2* 1', '2 H2O* 1']",,1-2,
CHO+CH3_pair,0.014,2.0,tC tC,"['1 CHO* 1', '2 CH3* 1']",,1-2,
CH2+C_pair,-0.139,2.0,tC tC,"['1 CH2* 1', '2 C* 1']",,1-2,
CH3+CH_pair,-0.036,2.0,tC tC,"['1 CH3* 1', '2 CH* 1']",,1-2,
