,sites,site_types,neighboring,A_site,initial,final,activ_eng,angles,molecule,vib_list_is,vib_list_fs,vib_list_ts,prox_factor
aCH4_HfC,2.0,tC tC ,1-2,5.34,"['1 * 1', '2 * 1']","['1 CH3* 1', '2 H* 1']",0.953,,CH4,"[383.954482, 383.737942, 383.659228, 369.182086, 187.614125, 187.542434, 159.292724, 159.221648, 159.17586]","[360.983557, 331.434665, 315.526328, 314.835008, 183.500033, 182.199772, 160.754896, 124.831547, 118.797362, 74.315207, 44.5016, 40.345156, 36.464652, 29.778422, 27.910057]","[374.595102, 364.451509, 350.759115, 325.443827, 175.76989, 167.375766, 138.765422, 83.752629, 80.634563, 66.425176, 61.529696, 38.152442, 24.136972, 21.303562]",
aCH4_Pt,2.0,Pt tC ,1-2,26.7,"['1 * 1', '2 * 1']","['1 CH3_Pt* 1', '2 H* 1']",0.033,,CH4,"[383.954482, 383.737942, 383.659228, 369.182086, 187.614125, 187.542434, 159.292724, 159.221648, 159.17586]","[378.039541, 369.416487, 326.951005, 300.866861, 179.395646, 158.359979, 155.780558, 84.854387, 76.912194, 55.556583, 49.963105, 36.999627, 28.113315, 23.099904, 13.72067]","[380.762109, 371.538423, 336.013379, 268.522865, 175.100398, 168.385872, 147.97648, 105.821628, 95.637502, 56.354181, 41.659177, 18.077313, 11.548619, 7.67368]",
aO2_HfC,2.0,tC tC ,1-2,5.34,"['1 * 1', '2 * 1']","['1 O* 1', '2 O* 1']",0.0,,O2,[194.973022],"[79.738187, 77.981497, 40.487926, 39.798116, 38.056578, 37.441762]",[],0.0
aO2_Pt,2.0,Pt tC ,1-2,26.7,"['1 * 1', '2 * 1']","['1 O_Pt* 1', '2 O* 1']",0.0,,O2,[194.973022],"[79.409859, 65.675705, 44.11502, 42.776968, 35.425955, 14.534095]",[],0.0
aCO_HfC,1.0,tC ,,5.34,['1 * 1'],['1 CO* 1'],0.0,,CO,[264.160873],"[240.497465, 82.738219, 60.132962, 60.080258, 7.271753, 6.553359]",[],0.0
aCO_Pt,1.0,Pt ,,26.7,['1 * 1'],['1 CO_Pt* 1'],0.0,,CO,[264.160873],"[247.748017, 59.816271, 55.481162, 55.043799, 6.479152, 5.419204]",[],0.0
aH2_HfC,2.0,tC tC ,1-2,5.34,"['1 * 1', '2 * 1']","['1 H* 1', '2 H* 1']",0.492,,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]","[315.70668, 133.013451, 87.803534, 70.4618, 47.120505]",
aH2w*_Pt,3.0,tC Pt tC,1-2 2-3,26.7,"['1 * 1', '2 * 1', '3 * 1']","['1 H* 1', '2 * 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aH2wCH3_Pt,3.0,tC Pt tC ,1-2 2-3,26.7,"['1 * 1', '2 CH3_Pt* 1', '3 * 1']","['1 H* 1', '2 CH3_Pt* 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
aH2wCH2_Pt,3.0,tC Pt tC ,1-2 2-3,26.7,"['1 * 1', '2 CH2_Pt* 1', '3 * 1']","['1 H* 1', '2 CH2_Pt* 1', '3 H* 1']",0.0,1-2-3:53.1301,H2,[535.636184],"[330.47737, 328.829408, 37.100702, 33.241428, 30.282429, 26.598161]",[],
