               Entry              Nevents                           Time                    Temperature                         Energy               C_Pt*               CO_Pt*                 CO2*              CHO_Pt*                   H*                H_Pt*              COH_Pt*             COOH_Pt*               OH_Pt*                 COH*                   O*               CH_Pt*                O_Pt*                  CO*                   C*                 CH3*                COOH*              CH2_Pt*              CH3_Pt*                 CH2*              CO2_Pt*                 CHO*                 H2O*                  CH*                  OH*              H2O_Pt*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.1000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         3.7950937499294352E-06         1.1000000000000000E+03        -1.1385399999999588E+02                   8                    1                   35                    0                   21                    1                    0                    0                    0                    0                   19                    0                    0                    0                    3                    0                    0                    1                    0                    2                    0                    0                    0                    0                    4                    0                  -15                    0                   24                   14                  -59                    0
                   3               200000         4.2514480164383109E-06         1.1000000000000000E+03        -1.2650799999999282E+02                   8                    1                   42                    0                   24                    1                    0                    0                    0                    0                   17                    0                    0                    1                    4                    0                    0                    0                    0                    2                    0                    0                    0                    2                    5                    0                  -18                    0                   24                   18                  -66                    0
                   4               300000         4.6144312678175277E-06         1.1000000000000000E+03        -1.3283499999999290E+02                   8                    1                   44                    0                   26                    1                    0                    0                    0                    0                   19                    0                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    3                    4                    0                  -18                    0                   28                   19                  -70                    0
                   5               400000         4.7474678647370230E-06         1.1000000000000000E+03        -1.3346799999999385E+02                   8                    1                   44                    0                   25                    1                    0                    0                    0                    0                   21                    0                    0                    1                    4                    0                    0                    0                    0                    0                    0                    0                    0                    3                    3                    0                  -18                    0                   29                   19                  -72                    1
                   6               500000         4.8755245818897787E-06         1.1000000000000000E+03        -1.2698799999999333E+02                   8                    1                   41                    0                   26                    1                    0                    0                    0                    0                   22                    0                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    3                    2                    0                  -18                    0                   30                   19                  -69                    1
                   7               600000         4.9960661383830140E-06         1.1000000000000000E+03        -1.3570849999999172E+02                   7                    2                   45                    0                   27                    1                    0                    0                    0                    0                   19                    0                    0                    0                    4                    0                    0                    1                    0                    0                    0                    0                    0                    4                    4                    0                  -20                    0                   30                   20                  -73                    1
                   8               700000         5.0936772503968005E-06         1.1000000000000000E+03        -1.3071549999999169E+02                   7                    2                   42                    0                   28                    1                    0                    0                    0                    0                   19                    0                    0                    0                    4                    0                    0                    1                    0                    2                    0                    0                    0                    3                    4                    0                  -21                    0                   30                   20                  -70                    1
                   9               800000         5.2621514662465723E-06         1.1000000000000000E+03        -1.3831549999999177E+02                   7                    2                   45                    0                   29                    0                    0                    0                    0                    0                   18                    0                    0                    1                    3                    0                    0                    2                    0                    1                    0                    0                    0                    3                    4                    0                  -21                    0                   30                   20                  -73                    1
                  10               900000         5.4960838958338738E-06         1.1000000000000000E+03        -1.5004449999999167E+02                   7                    2                   50                    0                   27                    1                    0                    0                    0                    0                   17                    0                    0                    0                    3                    0                    0                    2                    0                    0                    0                    0                    0                    4                    6                    0                  -21                    0                   32                   20                  -79                    1
                  11              1000000         5.8490802280661587E-06         1.1000000000000000E+03        -1.3994749999998976E+02                   7                    2                   45                    0                   29                    1                    0                    0                    0                    0                   15                    0                    0                    1                    5                    0                    0                    2                    0                    1                    0                    0                    0                    1                    7                    0                  -22                    0                   32                   21                  -74                    1
                  12              1100000         6.1999303183019001E-06         1.1000000000000000E+03        -1.5105749999998969E+02                   7                    2                   50                    0                   29                    1                    0                    0                    0                    0                   15                    0                    0                    1                    4                    0                    0                    1                    0                    1                    0                    0                    0                    3                    7                    0                  -22                    0                   32                   21                  -79                    1
                  13              1200000         6.6027254670363043E-06         1.1000000000000000E+03        -1.4574649999998968E+02                   7                    2                   48                    0                   30                    1                    0                    0                    0                    0                   12                    0                    0                    2                    5                    0                    0                    1                    1                    0                    0                    0                    0                    3                    9                    0                  -24                    0                   32                   23                  -77                    1
                  14              1300000         6.8684156305386481E-06         1.1000000000000000E+03        -1.4617049999998963E+02                   7                    2                   49                    0                   31                    1                    0                    0                    0                    0                   12                    0                    0                    2                    7                    0                    0                    1                    0                    1                    0                    0                    0                    1                    9                    0                  -24                    0                   32                   24                  -78                    1
                  15              1400000         7.0906912144623134E-06         1.1000000000000000E+03        -1.4675049999998953E+02                   7                    2                   48                    0                   31                    0                    0                    0                    0                    0                   13                    0                    0                    1                    7                    0                    0                    2                    0                    0                    0                    0                    0                    1                   10                    0                  -24                    0                   35                   24                  -79                    1
                  16              1500000         7.4347616047827012E-06         1.1000000000000000E+03        -1.5345299999998952E+02                   6                    3                   50                    0                   32                    1                    0                    0                    0                    0                   13                    0                    0                    1                    6                    0                    0                    3                    0                    0                    0                    0                    0                    2                    9                    0                  -25                    0                   35                   24                  -81                    1
                  17              1600000         7.6921777374233562E-06         1.1000000000000000E+03        -1.5764999999998957E+02                   6                    3                   52                    0                   32                    1                    0                    0                    0                    0                   13                    0                    0                    1                    6                    0                    0                    3                    0                    0                    0                    0                    0                    2                    9                    0                  -25                    0                   35                   24                  -83                    1
                  18              1700000         7.9962462353914900E-06         1.1000000000000000E+03        -1.5015499999998960E+02                   6                    3                   49                    0                   32                    1                    0                    0                    0                    0                   13                    0                    0                    1                    6                    0                    0                    2                    0                    2                    0                    0                    0                    2                    9                    0                  -26                    0                   35                   25                  -80                    1
                  19              1800000         8.2835091097355264E-06         1.1000000000000000E+03        -1.4631699999998969E+02                   6                    3                   49                    0                   33                    1                    0                    0                    0                    0                   13                    0                    0                    1                    7                    0                    0                    3                    0                    1                    0                    0                    0                    2                    8                    0                  -27                    0                   35                   26                  -80                    2
                  20              1900000         8.4697892137216436E-06         1.1000000000000000E+03        -1.3863199999998969E+02                   6                    3                   46                    0                   31                    3                    0                    0                    0                    0                   13                    0                    0                    1                    8                    0                    0                    2                    0                    1                    0                    0                    0                    2                    8                    0                  -27                    0                   35                   27                  -77                    2
                  21              2000000         8.7675823189159562E-06         1.1000000000000000E+03        -1.4394699999998855E+02                   6                    3                   51                    0                   30                    1                    0                    0                    0                    0                   12                    0                    0                    0                    8                    0                    0                    3                    0                    0                    0                    0                    0                    4                    9                    0                  -29                    0                   36                   31                  -82                    2
                  22              2100000         9.1832901058585084E-06         1.1000000000000000E+03        -1.3022499999998618E+02                   6                    3                   44                    0                   32                    2                    0                    0                    0                    0                   10                    0                    0                    0                    8                    0                    0                    1                    0                    2                    0                    0                    0                    4                   10                    0                  -30                    0                   37                   31                  -75                    2
                  23              2200000         9.3470983223068617E-06         1.1000000000000000E+03        -1.3078199999998631E+02                   6                    3                   45                    0                   32                    1                    0                    0                    0                    0                   10                    0                    0                    0                    9                    0                    0                    2                    0                    1                    0                    0                    0                    3                   10                    0                  -30                    0                   37                   32                  -76                    2
