               Entry              Nevents                           Time                    Temperature                         Energy               C_Pt*               CO_Pt*                 CO2*              CHO_Pt*                   H*                H_Pt*              COH_Pt*             COOH_Pt*               OH_Pt*                 COH*                   O*               CH_Pt*                O_Pt*                  CO*                   C*                 CH3*                COOH*              CH2_Pt*              CH3_Pt*                 CH2*              CO2_Pt*                 CHO*                 H2O*                  CH*                  OH*              H2O_Pt*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.1000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         4.9942668533495439E-06         1.1000000000000000E+03         4.0659999999994064E+01                   8                    1                    0                    0                    4                    1                    0                    0                    0                    0                    0                    0                    0                    0                   15                    0                    0                    0                    0                    3                    0                    0                    0                    1                    0                    0                  -28                    0                    1                   50                   -1                    0
                   3               200000         5.9895141133655259E-06         1.1000000000000000E+03         5.7190499999994081E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   20                    0                    0                    0                    0                    1                    0                    0                    0                    2                    0                    0                  -33                    0                    2                   64                   -1                    0
                   4               300000         5.2129769635142023E-05         1.1000000000000000E+03         6.2525499999994054E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   22                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                  -36                    0                    4                   70                   -2                    0
                   5               400000         7.7052330727917607E-05         1.1000000000000000E+03         6.7255499999911891E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   25                    0                    0                    0                    0                    1                    0                    0                    0                    1                    0                    0                  -38                    0                    4                   74                   -2                    0
                   6               500000         1.0692864463167569E-04         1.1000000000000000E+03         7.1712499999911813E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   26                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -39                    0                    4                   77                   -2                    0
                   7               600000         1.6345692495265183E-04         1.1000000000000000E+03         7.4024499999911868E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   28                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -40                    0                    4                   79                   -2                    0
                   8               700000         2.1873018572020019E-04         1.1000000000000000E+03         7.8442499999911760E+01                   9                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   29                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -42                    0                    4                   82                   -2                    0
                   9               800000         2.4818304777049190E-04         1.1000000000000000E+03         8.1648499999911778E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   30                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -43                    0                    4                   85                   -2                    0
                  10               900000         2.6033319092706893E-04         1.1000000000000000E+03         8.5840499999911785E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   33                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -44                    0                    4                   88                   -2                    0
                  11              1000000         3.4165808563506843E-04         1.1000000000000000E+03         8.6764499999911763E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   32                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -46                    0                    6                   91                   -3                    0
                  12              1100000         3.9829781226124751E-04         1.1000000000000000E+03         8.9628499999911696E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   33                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -47                    0                    6                   93                   -3                    0
                  13              1200000         4.0949693790008352E-04         1.1000000000000000E+03         8.8840499999911771E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   33                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -47                    0                    6                   93                   -3                    0
                  14              1300000         5.3390998032102569E-04         1.1000000000000000E+03         9.1813499999911784E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   33                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                  -49                    0                    6                   96                   -3                    0
                  15              1400000         5.5790743965998242E-04         1.1000000000000000E+03         9.2240499999911762E+01                   9                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   35                    0                    0                    0                    0                    1                    0                    0                    0                    2                    0                    0                  -50                    0                    6                   98                   -4                    0
                  16              1500000         5.6971020354384808E-04         1.1000000000000000E+03         9.6492499999911743E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   36                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -50                    0                    6                   99                   -3                    0
                  17              1600000         5.8859140854275720E-04         1.1000000000000000E+03         9.6399499999911754E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   36                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -50                    0                    6                   99                   -3                    0
                  18              1700000         6.3782275882518413E-04         1.1000000000000000E+03         9.9028499999911730E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   37                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -52                    0                    8                  103                   -4                    0
                  19              1800000         7.8506200252545380E-04         1.1000000000000000E+03         1.0303449999991176E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   40                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -53                    0                    8                  106                   -4                    0
                  20              1900000         9.5462484916795324E-04         1.1000000000000000E+03         1.0393649999991173E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   39                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -54                    0                    8                  107                   -4                    0
                  21              2000000         1.1360441932935575E-03         1.1000000000000000E+03         1.0598349999991167E+02                   9                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   40                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -56                    0                   10                  110                   -5                    0
                  22              2100000         1.1850166713367014E-03         1.1000000000000000E+03         1.0960949999991171E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   40                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                  -59                    0                   12                  116                   -6                    0
                  23              2200000         1.2393713584392969E-03         1.1000000000000000E+03         1.1703749999991160E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   44                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -61                    0                   12                  121                   -6                    0
                  24              2300000         1.2826724561427777E-03         1.1000000000000000E+03         1.1758649999991165E+02                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   45                    0                    0                    0                    0                    1                    0                    0                    0                    1                    0                    0                  -63                    0                   14                  124                   -7                    0
                  25              2400000         1.3137915594682444E-03         1.1000000000000000E+03         1.2431749999991162E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   47                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -65                    0                   14                  129                   -7                    0
                  26              2500000         1.4264323430070245E-03         1.1000000000000000E+03         1.2673849999993985E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   48                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -66                    0                   14                  131                   -7                    0
                  27              2600000         1.6180909090461235E-03         1.1000000000000000E+03         1.3013250000034049E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   48                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                  -68                    0                   14                  134                   -7                    0
                  28              2700000         1.6790984077944414E-03         1.1000000000000000E+03         1.3469650000044257E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   51                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -69                    0                   14                  137                   -7                    0
                  29              2800000         1.7730788574432141E-03         1.1000000000000000E+03         1.3400150000044536E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   51                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -69                    0                   14                  137                   -7                    0
                  30              2900000         2.1211533406855117E-03         1.1000000000000000E+03         1.3725450000044563E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   52                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -71                    0                   16                  141                   -8                    0
                  31              3000000         2.1829134751139082E-03         1.1000000000000000E+03         1.3994850000044644E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   52                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                  -73                    0                   16                  144                   -8                    0
                  32              3100000         2.3130456252109599E-03         1.1000000000000000E+03         1.4523450000044664E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   55                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -74                    0                   16                  147                   -8                    0
                  33              3200000         2.4278383671901540E-03         1.1000000000000000E+03         1.4993950000044669E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   57                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -76                    0                   16                  151                   -8                    0
                  34              3300000         2.5769585765966418E-03         1.1000000000000000E+03         1.4896550000044675E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   55                    0                    0                    0                    0                    1                    0                    0                    0                    4                    0                    0                  -77                    0                   16                  151                   -8                    0
                  35              3400000         2.6841381381432043E-03         1.1000000000000000E+03         1.5088550000044674E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   56                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                  -77                    0                   16                  152                   -8                    0
                  36              3500000         2.7724838881349368E-03         1.1000000000000000E+03         1.4873950000044658E+02                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   55                    0                    0                    0                    0                    2                    0                    0                    0                    4                    0                    0                  -78                    0                   16                  152                   -8                    0
