               Entry              Nevents                           Time                    Temperature                         Energy               C_Pt*               CO_Pt*                 CO2*              CHO_Pt*                   H*                H_Pt*              COH_Pt*             COOH_Pt*               OH_Pt*                 COH*                   O*               CH_Pt*                O_Pt*                  CO*                   C*                 CH3*                COOH*              CH2_Pt*              CH3_Pt*                 CH2*              CO2_Pt*                 CHO*                 H2O*                  CH*                  OH*              H2O_Pt*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         1.7778648852676096E-04         1.0000000000000000E+03         2.7536500000000807E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -19                    0                    0                   37                    0                    0
                   3               200000         2.8570563334631461E-04         1.0000000000000000E+03         3.4646500000001438E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   11                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -22                    0                    0                   43                    0                    0
                   4               300000         3.9207580801476114E-04         1.0000000000000000E+03         4.2079500000001453E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   15                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -25                    0                    0                   49                    0                    0
                   5               400000         4.2265239028124035E-04         1.0000000000000000E+03         4.4593500000001455E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   16                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -26                    0                    0                   51                    0                    0
                   6               500000         5.6506515196886773E-04         1.0000000000000000E+03         4.7703500000001455E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   16                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                  -28                    0                    0                   54                    0                    0
                   7               600000         5.7513163896542126E-04         1.0000000000000000E+03         5.1632500000001450E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   18                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -29                    0                    0                   57                    0                    0
                   8               700000         5.8806810730678354E-04         1.0000000000000000E+03         5.4480500000001449E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   20                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -30                    0                    0                   59                    0                    0
                   9               800000         5.9900660038008844E-04         1.0000000000000000E+03         5.8017500000001448E+01                   9                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   21                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -32                    0                    0                   62                    0                    0
                  10               900000         6.0886402856965042E-04         1.0000000000000000E+03         5.9552500000001451E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   22                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -32                    0                    0                   63                    0                    0
