               Entry              Nevents                           Time                    Temperature                         Energy               C_Pt*               CO_Pt*                 CO2*              CHO_Pt*                   H*                H_Pt*              COH_Pt*             COOH_Pt*               OH_Pt*                 COH*                   O*               CH_Pt*                O_Pt*                  CO*                   C*                 CH3*                COOH*              CH2_Pt*              CH3_Pt*                 CH2*              CO2_Pt*                 CHO*                 H2O*                  CH*                  OH*              H2O_Pt*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         3.8185095752054204E-06         1.0000000000000000E+03        -1.2127999999999894E+02                   8                    1                   43                    0                   27                    1                    0                    0                    0                    0                   11                    0                    0                    4                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -10                    0                    8                    6                  -55                    0
                   3               200000         4.3991260654864222E-06         1.0000000000000000E+03        -1.3601099999999943E+02                   8                    2                   48                    0                   29                    0                    0                    0                    0                    0                   13                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -11                    0                   11                    7                  -63                    0
                   4               300000         5.4467221375469682E-06         1.0000000000000000E+03        -1.3965499999999946E+02                   8                    2                   48                    0                   26                    1                    0                    0                    0                    0                   16                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -11                    0                   11                    8                  -66                    0
                   5               400000         6.7407695046576392E-06         1.0000000000000000E+03        -1.4623599999999936E+02                   8                    2                   51                    0                   28                    0                    0                    0                    0                    0                   17                    0                    0                    5                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -11                    0                   14                    8                  -70                    0
                   6               500000         9.2079273219003256E-06         1.0000000000000000E+03        -1.4057999999999942E+02                   8                    2                   48                    0                   28                    0                    0                    0                    0                    0                   17                    0                    0                    3                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -11                    0                   16                    8                  -67                    0
                   7               600000         1.2016669987108937E-05         1.0000000000000000E+03        -1.4790899999999937E+02                   8                    2                   48                    0                   30                    1                    0                    0                    0                    0                   19                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -12                    0                   20                    8                  -70                    0
                   8               700000         1.3233173654912289E-05         1.0000000000000000E+03        -1.5567199999999943E+02                   8                    2                   51                    0                   31                    0                    0                    0                    0                    0                   20                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -12                    0                   21                    8                  -74                    0
                   9               800000         1.4612010594687545E-05         1.0000000000000000E+03        -1.4866549999999944E+02                   7                    3                   48                    0                   32                    1                    0                    0                    0                    0                   18                    0                    0                    1                    1                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                  -13                    0                   23                    8                  -71                    0
                  10               900000         1.4984331081580247E-05         1.0000000000000000E+03        -1.5140749999999937E+02                   7                    3                   49                    0                   32                    0                    0                    0                    0                    0                   17                    0                    0                    1                    1                    0                    0                    1                    0                    0                    0                    0                    0                    0                    2                    0                  -13                    0                   23                    8                  -72                    0
                  11              1000000         1.5459444746033267E-05         1.0000000000000000E+03        -1.4887749999999937E+02                   7                    3                   47                    0                   33                    0                    0                    0                    0                    0                   17                    0                    0                    1                    1                    0                    0                    1                    1                    0                    0                    0                    0                    0                    2                    0                  -14                    0                   23                    8                  -70                    0
                  12              1100000         1.6195459532320718E-05         1.0000000000000000E+03        -1.4911649999999938E+02                   7                    3                   47                    0                   32                    1                    0                    0                    0                    0                   16                    0                    0                    1                    0                    0                    0                    1                    0                    0                    0                    0                    0                    2                    3                    0                  -14                    0                   23                    8                  -70                    0
                  13              1200000         1.7095585438238918E-05         1.0000000000000000E+03        -1.4341249999999940E+02                   7                    3                   45                    0                   31                    1                    0                    0                    0                    0                   16                    0                    0                    2                    1                    0                    0                    0                    0                    0                    0                    0                    0                    1                    3                    0                  -14                    0                   24                   10                  -69                    0
                  14              1300000         1.8053275777641288E-05         1.0000000000000000E+03        -1.5001649999999941E+02                   7                    3                   48                    0                   34                    0                    0                    0                    0                    0                   16                    0                    0                    1                    1                    0                    0                    1                    0                    0                    0                    0                    0                    1                    3                    0                  -15                    0                   25                   10                  -72                    0
                  15              1400000         1.8463947459918578E-05         1.0000000000000000E+03        -1.5158049999999935E+02                   7                    3                   47                    0                   33                    1                    0                    0                    0                    0                   15                    0                    0                    1                    0                    0                    0                    1                    0                    0                    0                    0                    0                    3                    5                    0                  -16                    0                   26                   10                  -72                    0
                  16              1500000         1.8683080867351529E-05         1.0000000000000000E+03        -1.5790349999999938E+02                   7                    3                   50                    0                   34                    2                    0                    0                    0                    0                   15                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    3                    5                    0                  -16                    0                   26                   10                  -75                    0
