               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                 H2O*                  OH*                   O*                   H*                COOH*                   CO                  H2O                   H2                  CO2                   O2
                   1                    0         0.0000000000000000E+00         8.0000000000000000E+02         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2                 1000         2.4342174296887658E-05         8.0000000000000000E+02        -2.4390000000000001E+00                   1                    1                    0                    0                    0                    0                   -1                   -1                    0                    0                    0
                   3                 2000         2.4977618192304017E-05         8.0000000000000000E+02        -2.4390000000000001E+00                   1                    1                    0                    0                    0                    0                   -1                   -1                    0                    0                    0
                   4                 3000         3.6431817145878737E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                   5                 4000         4.0107170215999384E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                   6                 5000         4.0744519801326969E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                   7                 6000         4.1380245637691448E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                   8                 7000         4.5368113685954710E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                   9                 8000         4.5986685529511063E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                  10                 9000         4.6601929732057377E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                  11                10000         4.7218852867234539E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                  12                11000         4.7863018667317481E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                  13                12000         4.8503271540801359E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                  14                13000         4.9096404924208603E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                  15                14000         9.8341125245984901E-05         8.0000000000000000E+02        -6.5930000000000639E+00                   3                    1                    0                    0                    0                    0                   -4                   -2                    1                    1                    0
                  16                15000         1.3776431679195290E-04         8.0000000000000000E+02        -1.0486000000000057E+01                   4                    0                    1                    0                    5                    0                   -7                   -4                    1                    3                    0
                  17                16000         1.5336809857021379E-04         8.0000000000000000E+02        -1.2384000000000059E+01                   4                    1                    0                    0                    6                    0                   -8                   -5                    1                    4                    0
                  18                17000         1.6695258918814499E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  19                18000         1.6756715900363218E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  20                19000         1.6821911164532845E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  21                20000         1.6884946813506470E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  22                21000         1.6957495824988366E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  23                22000         1.7021329047904149E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  24                23000         1.7082600113696748E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  25                24000         1.7148379971876091E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  26                25000         1.8973466463784194E-04         8.0000000000000000E+02        -1.0531000000000057E+01                   4                    0                    1                    0                    5                    0                   -9                   -6                    3                    5                    0
                  27                26000         1.9059216161794617E-04         8.0000000000000000E+02        -1.0531000000000057E+01                   4                    0                    1                    0                    5                    0                   -9                   -6                    3                    5                    0
                  28                27000         1.9948461257539703E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                  -10                   -6                    3                    5                    0
                  29                28000         2.1673501745479617E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                  -11                   -7                    4                    6                    0
                  30                29000         2.2047810459131331E-04         8.0000000000000000E+02        -1.1508000000000060E+01                   4                    2                    0                    0                    4                    0                  -11                   -9                    5                    7                    0
                  31                30000         2.2128719455556071E-04         8.0000000000000000E+02        -9.9080000000000563E+00                   4                    1                    0                    0                    2                    0                  -11                   -8                    6                    7                    0
                  32                31000         2.3733876142880691E-04         8.0000000000000000E+02        -1.1370000000000053E+01                   5                    0                    1                    0                    3                    0                  -12                   -8                    6                    7                    0
                  33                32000         2.3826996283886798E-04         8.0000000000000000E+02        -1.1370000000000053E+01                   5                    0                    1                    0                    3                    0                  -12                   -8                    6                    7                    0
                  34                33000         2.7244359380493771E-04         8.0000000000000000E+02        -8.0760000000005885E+00                   4                    0                    1                    0                    1                    0                  -12                   -9                    8                    8                    0
